t,x00,x10,v00,v10,x01,x11,v01,v11,x02,x12,v02,v12,x03,x13,v03,v13,
0.0116,-0.521572,0.115449,-0.848423,0.559681,-0.573092,-0.192335,2.93311,0.954664,0.495241,0.0845959,-0.471396,-1.4513,0.505269,0.39229,1.12075,-1.72215,
0.012,-0.522319,0.11594,-0.848473,0.556464,-0.572153,-0.192028,2.93496,0.963708,0.495071,0.0840737,-0.472444,-1.44965,0.505449,0.392014,1.11969,-1.72625,
0.0124,-0.523066,0.116429,-0.848506,0.553241,-0.571213,-0.191718,2.93676,0.972765,0.494901,0.0835521,-0.47349,-1.44801,0.505628,0.391738,1.11862,-1.73034,
0.0128,-0.523812,0.116914,-0.848522,0.550014,-0.570273,-0.191406,2.93851,0.981834,0.49473,0.0830311,-0.474534,-1.44637,0.505807,0.39146,1.11755,-1.73442,
0.0132,-0.524559,0.117397,-0.848522,0.546781,-0.569333,-0.19109,2.94022,0.990916,0.494559,0.0825107,-0.475576,-1.44473,0.505985,0.391183,1.11648,-1.73849,
0.0136,-0.525306,0.117876,-0.848504,0.543544,-0.568391,-0.190771,2.94188,1.00001,0.494388,0.0819909,-0.476615,-1.44309,0.506164,0.390904,1.1154,-1.74256,
0.014,-0.526052,0.118353,-0.84847,0.540303,-0.56745,-0.19045,2.94349,1.00911,0.494216,0.0814717,-0.477653,-1.44145,0.506342,0.390625,1.11432,-1.74662,
0.0144,-0.526799,0.118827,-0.848418,0.537056,-0.566508,-0.190126,2.94506,1.01823,0.494044,0.0809531,-0.478688,-1.43982,0.50652,0.390345,1.11323,-1.75067,
0.0148,-0.527545,0.119298,-0.84835,0.533806,-0.565565,-0.189798,2.94657,1.02736,0.493871,0.080435,-0.479721,-1.43819,0.506698,0.390065,1.11215,-1.75472,
0.0152,-0.528292,0.119767,-0.848264,0.530552,-0.564622,-0.189468,2.94805,1.03649,0.493698,0.0799176,-0.480752,-1.43656,0.506876,0.389784,1.11106,-1.75876,
0.0156,-0.529038,0.120232,-0.848162,0.527293,-0.563678,-0.189135,2.94947,1.04564,0.493525,0.0794007,-0.481781,-1.43493,0.507054,0.389502,1.10996,-1.76279,
0.016,-0.529785,0.120695,-0.848042,0.524031,-0.562734,-0.188799,2.95084,1.05479,0.493351,0.0788844,-0.482808,-1.43331,0.507231,0.38922,1.10886,-1.76682,
0.0164,-0.530531,0.121154,-0.847905,0.520766,-0.56179,-0.18846,2.95217,1.06396,0.493177,0.0783687,-0.483833,-1.43168,0.507409,0.388937,1.10776,-1.77084,
0.0168,-0.531277,0.121611,-0.847751,0.517497,-0.560845,-0.188118,2.95345,1.07313,0.493003,0.0778536,-0.484855,-1.43006,0.507586,0.388653,1.10666,-1.77485,
0.0172,-0.532023,0.122065,-0.84758,0.514225,-0.559899,-0.187773,2.95468,1.08231,0.492828,0.0773391,-0.485876,-1.42844,0.507763,0.388369,1.10555,-1.77885,
0.0176,-0.532769,0.122516,-0.847391,0.51095,-0.558954,-0.187425,2.95586,1.09149,0.492653,0.0768251,-0.486894,-1.42683,0.50794,0.388084,1.10444,-1.78285,
0.018,-0.533514,0.122965,-0.847185,0.507671,-0.558008,-0.187074,2.957,1.10069,0.492478,0.0763118,-0.487911,-1.42521,0.508116,0.387798,1.10333,-1.78684,
